start_station_id,start_station_name,end_station_id,end_station_name,total_trips_subscriber
42,Davis at Jackson,48,Embarcadero at Vallejo,75
42,Davis at Jackson,55,Temporary Transbay Terminal (Howard at Beale),256
42,Davis at Jackson,54,Embarcadero at Bryant,62
42,Davis at Jackson,59,Golden Gate at Polk,12
42,Davis at Jackson,58,San Francisco City Hall,4
42,Davis at Jackson,57,5th at Howard,24
42,Davis at Jackson,56,Beale at Market,244
42,Davis at Jackson,63,Howard at 2nd,26
42,Davis at Jackson,62,2nd at Folsom,9
42,Davis at Jackson,61,2nd at Townsend,371
42,Davis at Jackson,60,Embarcadero at Sansome,415
41,Clay at Battery,68,Yerba Buena Center of the Arts (3rd @ Howard),35
41,Clay at Battery,69,San Francisco Caltrain 2 (330 Townsend),212
41,Clay at Battery,70,San Francisco Caltrain (Townsend at 4th),988
41,Clay at Battery,71,Powell at Post (Union Square),63
41,Clay at Battery,64,2nd at South Park,81
41,Clay at Battery,65,Townsend at 7th,76
41,Clay at Battery,66,South Van Ness at Market,31
41,Clay at Battery,67,Market at 10th,33
41,Clay at Battery,76,Market at 4th,104
41,Clay at Battery,77,Market at Sansome,155
41,Clay at Battery,72,Civic Center BART (7th at Market),37
41,Clay at Battery,73,Grant Avenue at Columbus Avenue,105
41,Clay at Battery,74,Steuart at Market,57
41,Clay at Battery,75,Mechanics Plaza (Market at Battery),87
41,Clay at Battery,82,Broadway St at Battery St,279
41,Clay at Battery,39,Powell Street BART,193
41,Clay at Battery,42,Davis at Jackson,33
41,Clay at Battery,41,Clay at Battery,46
41,Clay at Battery,46,Washington at Kearney,13
41,Clay at Battery,47,Post at Kearney,63
41,Clay at Battery,45,Commercial at Montgomery,29
41,Clay at Battery,51,Embarcadero at Folsom,39
41,Clay at Battery,50,Harry Bridges Plaza (Ferry Building),118
41,Clay at Battery,49,Spear at Folsom,80
41,Clay at Battery,48,Embarcadero at Vallejo,50
41,Clay at Battery,55,Temporary Transbay Terminal (Howard at Beale),310
41,Clay at Battery,54,Embarcadero at Bryant,79
41,Clay at Battery,59,Golden Gate at Polk,35
41,Clay at Battery,58,San Francisco City Hall,14
41,Clay at Battery,57,5th at Howard,72
41,Clay at Battery,56,Beale at Market,71
41,Clay at Battery,63,Howard at 2nd,86
41,Clay at Battery,62,2nd at Folsom,74
41,Clay at Battery,61,2nd at Townsend,304
41,Clay at Battery,60,Embarcadero at Sansome,305
46,Washington at Kearney,68,Yerba Buena Center of the Arts (3rd @ Howard),11
46,Washington at Kearney,69,San Francisco Caltrain 2 (330 Townsend),112
46,Washington at Kearney,70,San Francisco Caltrain (Townsend at 4th),110
46,Washington at Kearney,71,Powell at Post (Union Square),28
46,Washington at Kearney,64,2nd at South Park,55
46,Washington at Kearney,65,Townsend at 7th,48
46,Washington at Kearney,66,South Van Ness at Market,16
46,Washington at Kearney,67,Market at 10th,38
46,Washington at Kearney,76,Market at 4th,82
46,Washington at Kearney,77,Market at Sansome,92
46,Washington at Kearney,72,Civic Center BART (7th at Market),30
46,Washington at Kearney,73,Grant Avenue at Columbus Avenue,26
