start_station_id,start_station_name,end_station_id,end_station_name,total_trips_customer
31,San Antonio Shopping Center,31,San Antonio Shopping Center,23
30,Evelyn Park and Ride,32,Castro Street and El Camino Real,7
30,Evelyn Park and Ride,33,Rengstorff Avenue / California Street,4
30,Evelyn Park and Ride,27,Mountain View City Hall,15
30,Evelyn Park and Ride,29,San Antonio Caltrain Station,1
30,Evelyn Park and Ride,28,Mountain View Caltrain Station,37
30,Evelyn Park and Ride,14,Arena Green / SAP Center,1
30,Evelyn Park and Ride,30,Evelyn Park and Ride,65
34,Palo Alto Caltrain Station,34,Palo Alto Caltrain Station,136
34,Palo Alto Caltrain Station,35,University and Emerson,43
34,Palo Alto Caltrain Station,33,Rengstorff Avenue / California Street,3
34,Palo Alto Caltrain Station,38,Park at Olive,17
34,Palo Alto Caltrain Station,36,California Ave Caltrain Station,43
34,Palo Alto Caltrain Station,37,Cowper at University,45
34,Palo Alto Caltrain Station,21,Franklin at Maple,1
34,Palo Alto Caltrain Station,22,Redwood City Caltrain Station,1
34,Palo Alto Caltrain Station,25,Stanford in Redwood City,1
34,Palo Alto Caltrain Station,24,Redwood City Public Library,1
34,Palo Alto Caltrain Station,27,Mountain View City Hall,1
34,Palo Alto Caltrain Station,29,San Antonio Caltrain Station,3
34,Palo Alto Caltrain Station,28,Mountain View Caltrain Station,8
34,Palo Alto Caltrain Station,31,San Antonio Shopping Center,3
35,University and Emerson,34,Palo Alto Caltrain Station,23
35,University and Emerson,35,University and Emerson,323
35,University and Emerson,32,Castro Street and El Camino Real,1
35,University and Emerson,70,San Francisco Caltrain (Townsend at 4th),3
35,University and Emerson,33,Rengstorff Avenue / California Street,1
35,University and Emerson,38,Park at Olive,11
35,University and Emerson,36,California Ave Caltrain Station,40
35,University and Emerson,37,Cowper at University,18
35,University and Emerson,21,Franklin at Maple,1
35,University and Emerson,23,San Mateo County Center,2
35,University and Emerson,24,Redwood City Public Library,2
35,University and Emerson,29,San Antonio Caltrain Station,5
35,University and Emerson,28,Mountain View Caltrain Station,4
35,University and Emerson,31,San Antonio Shopping Center,3
32,Castro Street and El Camino Real,32,Castro Street and El Camino Real,48
32,Castro Street and El Camino Real,33,Rengstorff Avenue / California Street,6
32,Castro Street and El Camino Real,38,Park at Olive,2
32,Castro Street and El Camino Real,36,California Ave Caltrain Station,1
32,Castro Street and El Camino Real,37,Cowper at University,1
32,Castro Street and El Camino Real,27,Mountain View City Hall,14
32,Castro Street and El Camino Real,29,San Antonio Caltrain Station,3
32,Castro Street and El Camino Real,63,Howard at 2nd,2
32,Castro Street and El Camino Real,28,Mountain View Caltrain Station,53
32,Castro Street and El Camino Real,31,San Antonio Shopping Center,16
32,Castro Street and El Camino Real,30,Evelyn Park and Ride,3
33,Rengstorff Avenue / California Street,32,Castro Street and El Camino Real,6
33,Rengstorff Avenue / California Street,33,Rengstorff Avenue / California Street,38
33,Rengstorff Avenue / California Street,38,Park at Olive,6
33,Rengstorff Avenue / California Street,36,California Ave Caltrain Station,6
33,Rengstorff Avenue / California Street,27,Mountain View City Hall,23
33,Rengstorff Avenue / California Street,29,San Antonio Caltrain Station,11
33,Rengstorff Avenue / California Street,28,Mountain View Caltrain Station,26
33,Rengstorff Avenue / California Street,31,San Antonio Shopping Center,5
33,Rengstorff Avenue / California Street,30,Evelyn Park and Ride,2
38,Park at Olive,34,Palo Alto Caltrain Station,19
38,Park at Olive,35,University and Emerson,32
38,Park at Olive,70,San Francisco Caltrain (Townsend at 4th),1
38,Park at Olive,32,Castro Street and El Camino Real,2
38,Park at Olive,33,Rengstorff Avenue / California Street,8
38,Park at Olive,38,Park at Olive,36
38,Park at Olive,36,California Ave Caltrain Station,11
38,Park at Olive,37,Cowper at University,8
38,Park at Olive,27,Mountain View City Hall,1
38,Park at Olive,29,San Antonio Caltrain Station,13
38,Park at Olive,28,Mountain View Caltrain Station,1
38,Park at Olive,31,San Antonio Shopping Center,8
39,Powell Street BART,68,Yerba Buena Center of the Arts (3rd @ Howard),23
39,Powell Street BART,69,San Francisco Caltrain 2 (330 Townsend),47
39,Powell Street BART,70,San Francisco Caltrain (Townsend at 4th),57
39,Powell Street BART,71,Powell at Post (Union Square),41
39,Powell Street BART,64,2nd at South Park,17
39,Powell Street BART,65,Townsend at 7th,34
39,Powell Street BART,66,South Van Ness at Market,154
39,Powell Street BART,67,Market at 10th,163
39,Powell Street BART,76,Market at 4th,47
39,Powell Street BART,77,Market at Sansome,28
39,Powell Street BART,72,Civic Center BART (7th at Market),73
39,Powell Street BART,73,Grant Avenue at Columbus Avenue,36
39,Powell Street BART,74,Steuart at Market,87
39,Powell Street BART,75,Mechanics Plaza (Market at Battery),23
39,Powell Street BART,82,Broadway St at Battery St,5
39,Powell Street BART,39,Powell Street BART,231
39,Powell Street BART,42,Davis at Jackson,4
39,Powell Street BART,41,Clay at Battery,15
39,Powell Street BART,46,Washington at Kearney,32
39,Powell Street BART,47,Post at Kearney,21
39,Powell Street BART,45,Commercial at Montgomery,8
39,Powell Street BART,51,Embarcadero at Folsom,13
39,Powell Street BART,50,Harry Bridges Plaza (Ferry Building),135
39,Powell Street BART,49,Spear at Folsom,11
39,Powell Street BART,48,Embarcadero at Vallejo,66
39,Powell Street BART,55,Temporary Transbay Terminal (Howard at Beale),6
39,Powell Street BART,54,Embarcadero at Bryant,19
39,Powell Street BART,59,Golden Gate at Polk,46
39,Powell Street BART,58,San Francisco City Hall,55
39,Powell Street BART,57,5th at Howard,28
39,Powell Street BART,56,Beale at Market,19
39,Powell Street BART,63,Howard at 2nd,15
39,Powell Street BART,62,2nd at Folsom,14
39,Powell Street BART,61,2nd at Townsend,53
39,Powell Street BART,60,Embarcadero at Sansome,171
36,California Ave Caltrain Station,34,Palo Alto Caltrain Station,36
36,California Ave Caltrain Station,35,University and Emerson,58
36,California Ave Caltrain Station,33,Rengstorff Avenue / California Street,2
36,California Ave Caltrain Station,38,Park at Olive,8
36,California Ave Caltrain Station,36,California Ave Caltrain Station,63
36,California Ave Caltrain Station,37,Cowper at University,18
36,California Ave Caltrain Station,25,Stanford in Redwood City,6
36,California Ave Caltrain Station,27,Mountain View City Hall,2
36,California Ave Caltrain Station,29,San Antonio Caltrain Station,7
36,California Ave Caltrain Station,28,Mountain View Caltrain Station,5
36,California Ave Caltrain Station,31,San Antonio Shopping Center,5
37,Cowper at University,34,Palo Alto Caltrain Station,26
37,Cowper at University,35,University and Emerson,29
37,Cowper at University,38,Park at Olive,9
37,Cowper at University,21,Franklin at Maple,2
37,Cowper at University,36,California Ave Caltrain Station,12
37,Cowper at University,37,Cowper at University,45
37,Cowper at University,25,Stanford in Redwood City,1
37,Cowper at University,30,Evelyn Park and Ride,1
42,Davis at Jackson,68,Yerba Buena Center of the Arts (3rd @ Howard),5
42,Davis at Jackson,69,San Francisco Caltrain 2 (330 Townsend),14
42,Davis at Jackson,70,San Francisco Caltrain (Townsend at 4th),34
42,Davis at Jackson,71,Powell at Post (Union Square),16
42,Davis at Jackson,65,Townsend at 7th,2
42,Davis at Jackson,66,South Van Ness at Market,4
42,Davis at Jackson,67,Market at 10th,3
42,Davis at Jackson,76,Market at 4th,7
42,Davis at Jackson,77,Market at Sansome,6
42,Davis at Jackson,72,Civic Center BART (7th at Market),3
42,Davis at Jackson,73,Grant Avenue at Columbus Avenue,17
42,Davis at Jackson,74,Steuart at Market,3
42,Davis at Jackson,75,Mechanics Plaza (Market at Battery),3
42,Davis at Jackson,82,Broadway St at Battery St,2
42,Davis at Jackson,39,Powell Street BART,2
42,Davis at Jackson,42,Davis at Jackson,84
42,Davis at Jackson,41,Clay at Battery,2
42,Davis at Jackson,46,Washington at Kearney,11
42,Davis at Jackson,47,Post at Kearney,2
42,Davis at Jackson,45,Commercial at Montgomery,5
42,Davis at Jackson,51,Embarcadero at Folsom,5
42,Davis at Jackson,50,Harry Bridges Plaza (Ferry Building),30
42,Davis at Jackson,49,Spear at Folsom,6
42,Davis at Jackson,48,Embarcadero at Vallejo,14
42,Davis at Jackson,55,Temporary Transbay Terminal (Howard at Beale),3
42,Davis at Jackson,54,Embarcadero at Bryant,14
42,Davis at Jackson,57,5th at Howard,9
42,Davis at Jackson,56,Beale at Market,3
42,Davis at Jackson,63,Howard at 2nd,1
42,Davis at Jackson,62,2nd at Folsom,1
42,Davis at Jackson,61,2nd at Townsend,20
42,Davis at Jackson,60,Embarcadero at Sansome,69
41,Clay at Battery,68,Yerba Buena Center of the Arts (3rd @ Howard),24
41,Clay at Battery,69,San Francisco Caltrain 2 (330 Townsend),11
41,Clay at Battery,70,San Francisco Caltrain (Townsend at 4th),20
41,Clay at Battery,71,Powell at Post (Union Square),38
41,Clay at Battery,64,2nd at South Park,9
41,Clay at Battery,65,Townsend at 7th,7
41,Clay at Battery,66,South Van Ness at Market,7
41,Clay at Battery,67,Market at 10th,10
41,Clay at Battery,76,Market at 4th,33
41,Clay at Battery,77,Market at Sansome,11
41,Clay at Battery,72,Civic Center BART (7th at Market),10
41,Clay at Battery,73,Grant Avenue at Columbus Avenue,44
41,Clay at Battery,74,Steuart at Market,16
41,Clay at Battery,75,Mechanics Plaza (Market at Battery),11
41,Clay at Battery,82,Broadway St at Battery St,7
41,Clay at Battery,39,Powell Street BART,16
41,Clay at Battery,42,Davis at Jackson,3
41,Clay at Battery,41,Clay at Battery,108
41,Clay at Battery,46,Washington at Kearney,11
41,Clay at Battery,47,Post at Kearney,13
41,Clay at Battery,45,Commercial at Montgomery,13
41,Clay at Battery,51,Embarcadero at Folsom,1
41,Clay at Battery,50,Harry Bridges Plaza (Ferry Building),49
41,Clay at Battery,49,Spear at Folsom,9
41,Clay at Battery,48,Embarcadero at Vallejo,17
41,Clay at Battery,55,Temporary Transbay Terminal (Howard at Beale),4
41,Clay at Battery,54,Embarcadero at Bryant,17
41,Clay at Battery,59,Golden Gate at Polk,12
41,Clay at Battery,58,San Francisco City Hall,2
